# File: iso_GCAM_regID.csv,,,
# Title: ISO to GCAM region mapping,,,
# Units: NA,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,
# ----------,,Former GCAM regions, 
iso,country_name,region_GCAM3,GCAM_region_ID
aaa,Curacao,Latin America,9
abw,Aruba,Latin America,9
afg,Afghanistan,Southeast Asia,27
ago,Angola,Africa,4
aaa,Saint Barthelemy,Latin America,9
aia,Anguilla,Latin America,9
alb,Albania,Eastern Europe,15
and,Andorra,Western Europe,13
ant,Netherlands Antilles,Latin America,9
are,United Arab Emirates,Middle East,21
arg,South Sandwich Islands,Latin America,31
arg,South Georgia,Latin America,31
arg,Falkland Islands,Latin America,31
arg,Argentina,Latin America,31
arm,Armenia,Former Soviet Union,10
asm,American Samoa,Southeast Asia,29
atg,Antigua,Latin America,9
atg,Barbuda,Latin America,9
atg,Antigua & Barbuda,Latin America,9
aus,Cocos Islands,Australia_NZ,6
aus,Heard Island,Australia_NZ,6
aus,Australia,Australia_NZ,6
aut,Austria,Western Europe,13
aze,Azerbaijan,Former Soviet Union,10
bdi,Burundi,Africa,2
bel,Belgium,Western Europe,13
ben,Benin,Africa,5
bfa,Burkina Faso,Africa,5
bgd,Bangladesh,Southeast Asia,27
bgr,Bulgaria,Eastern Europe,12
bhr,Bahrain,Middle East,21
bhs,Bahamas,Latin America,9
bih,Bosnia and Herzegovina,Eastern Europe,15
blr,Belarus,Former Soviet Union,14
blz,Belize,Latin America,9
bmu,Bermuda,Western Europe,9
bol,Bolivia,Latin America,26
bra,Brazil,Latin America,7
brb,Barbados,Latin America,9
brn,Brunei,Southeast Asia,29
brn,Brunei Darussalam,Southeast Asia,29
btn,Bhutan,Southeast Asia,27
bwa,Botswana,Africa,4
caf,Central African Republic,Africa,5
can,Canada,Canada,8
cck,Cocos (Keeling) Islands,Southeast Asia,29
che,Switzerland,Western Europe,16
chi,Channel Islands,Western Europe,13
chl,Chile,Latin America,26
chn,China,China,11
civ,Ivory Coast,Africa,5
civ,Cote dIvoire,Africa,5
cmr,Cameroon,Africa,5
cod,Democratic Republic of the Congo,Africa,5
cog,Republic of Congo,Africa,5
cod,"Congo, the Democratic Republic of the",Africa,5
cog,Congo,Africa,5
cok,Cook Islands,Australia_NZ,29
col,Colombia,Latin America,32
com,Comoros,Africa,2
cpv,Cape Verde,Africa,5
cri,Costa Rica,Latin America,9
cub,Cuba,Latin America,9
cym,Cayman Islands,Latin America,9
cyp,Cyprus,Western Europe,12
cxr,Christmas Island,Southeast Asia,29
cze,Czech Republic,Eastern Europe,12
deu,Germany,Western Europe,13
dji,Djibouti,Africa,2
dma,Dominica,Latin America,9
dnk,Denmark,Western Europe,13
dom,Dominican Republic,Latin America,9
dza,Algeria,Africa,3
ecu,Ecuador,Latin America,26
egy,Egypt,Africa,3
eri,Eritrea,Africa,2
esh,Western Sahara,Africa,3
esp,Spain,Western Europe,13
est,Estonia,Former Soviet Union,12
eth,Ethiopia,Africa,2
fin,Finland,Western Europe,13
